Platform,Course Title,Content Developer,Equivalent AU,Course Type,Enrolment Date,Free for NTU students
Coursera,Introduction to Recommender Systems: Non-Personalized and Content-Based Note: Students are recommended to read ¡®SC2002 Object Oriented Design & Programming¡¯ (or equivalent course) before enrolling in this MOOC.,University of Minnesota,1,UE / BDE: All programmes,17-May-23,Yes
Coursera,Introduction to Software Testing Note: Students are recommended to read ¡®SC2002 Object Oriented Design & Programming¡¯ (or equivalent course) before enrolling in this MOOC.,University of Minnesota,1,UE / BDE: All programmes,17-May-23,Yes
Coursera,Java for Android Note: Students are recommended to read ¡®SC2002 Object Oriented Design & Programming¡¯ (or equivalent course) before enrolling in this MOOC.,Vanderbilt University,1,UE / BDE: All programmes,17-May-23,Yes
Coursera,Building Web Applications in PHP Note: Students are recommended to read ¡®SC1003 Introduction to Computational Thinking and Programming¡¯ (or equivalent course) before enrolling in this MOOC.,University of Michigan,1,UE / BDE: All programmes,18-Sept-23,Yes
Coursera,"JavaScript, jQuery, and JSON Note: Students are recommended to read ¡®SC1003 Introduction to Computational Thinking and Programming¡¯ (or equivalent course) before enrolling in this MOOC.",University of Michigan,1,UE / BDE: All programmes,18-Sept-23,Yes
Coursera,Particle Physics: an Introduction,University of Geneva,1,UE / BDE: All programmes,14-Mar-24,Yes
Coursera,Digital Systems: From Logic Gates to,,1,UE / BDE: All programmes except for EEE and IEM students.,3-Aug-24,Yes
Coursera,Circular Economy ¨C Sustainable Materials Management,Lund University,1,GER-PE (BM) / UE / BDE: All programmes,19-Aug-20,No
Coursera,"Energy, Environment, and Everyday Life",University of Illinois at Urbana-Champaign,2,GER-PE (STS) / GER-PE (BM) / UE / BDE: All programmes,19-Aug-20,No
Coursera,Fundamentals of GIS,University of California Davis,1,"GER-PE (STS): All programmes except EESS, ESPP UE / BDE : All programmes except EESS, ESPP",19-Aug-20,No
Coursera,Gamification,University of Pennsylvania,1,GER-PE (STS) / UE / BDE: All programmes,19-Aug-20,No
Coursera,Global Arctic,?cole Polytechnique F¨¦d¨¦rale de Lausanne,1,GER-PE (STS) / UE / BDE: All programmes,19-Aug-20,No
Coursera,Global Warming II: Create Your Own Models in Python,University of Chicago,1,GER-PE (STS) / UE / BDE: All programmes,19-Aug-20,No
Coursera,Greek and Roman Mythology,University of Pennsylvania,1,GER-PE (LA) / UE / BDE: All programmes,19-Aug-20,No
Coursera,Innovation: From Creativity to Entrepreneurship Specialization (There are 7 courses in this Specialization),University of Illinois at Urbana-Champaign,3,"GER-PE (BM): All programmes except ACC, BUS, ACBS, BCE, BCG, and except students in CN Yang Scholars Programme and University Scholars Programme UE / BDE: All programmes except students in CN Yang Scholars Programme and University Scholars Programme",19-Aug-20,No
Coursera,Introduction to Big Data (1 of 6 courses of Big Data Specialisation),University of California San Diego,1,GER-PE (STS): SSM only UE / BDE: All programmes under NIE and NBS (except ACDA),19-Aug-20,No
Coursera,Introduction to High-Throughput Materials Development,Georgia Institute of Technology,1,"MPE: MAT, MTEC, and REP (MAT specialisation) UE / BDE: All programmes",19-Aug-20,No
Coursera,Our Energy Future,University of California San Diego,2,GER-PE (STS) / UE / BDE: All programmes,19-Aug-20,No
Coursera,Planet Earth...and You!,University of Illinois at Urbana-Champaign,2,GER-PE (STS) / UE / BDE: All programmes,19-Aug-20,No
Coursera,"Positive Psychology: Character, Grit and Research Methods",University of Pennsylvania,1,GER-PE (LA) / UE / BDE: All programmes,19-Aug-20,No
Coursera,Transmission Electron Microscopy for Materials Science,?cole Polytechnique F¨¦d¨¦rale de Lausanne,2,"MPE: MAT, MTEC, and REP (MAT specialisation) UE / BDE: All programmes",19-Aug-20,No
Coursera,Ubiquitous Learning and Instructional Technologies,University of Illinois at Urbana-Champaign,1,GER-PE (STS) / UE / BDE: All programmes,19-Aug-20,No
edX,A Hands-on Introduction to Engineering Simulations,Cornell University,1,GER-PE (STS) / UE / BDE: All programmes,19-Aug-20,No
edX,Ancient Masterpieces of World Literature,Harvard University,1,GER-PE (LA) / UE / BDE: All programmes,19-Aug-20,No
edX,Becoming a More Equitable Educator: Mindsets and Practices,Massachusetts Institute of Technology,2,GER-PE (LA) / UE / BDE: All programmes,19-Aug-20,No
edX,Big Data and Education,University of Pennsylvania,3,"GER-PE (STS): SSM, all programmes under ADM, SOH, SSS, WKW SCI, ASE, and SBS UE / BDE: All programmes under NIE, ADM, SOH, SSS (except ECDS), WKW SCI, ASE, SBS, and NBS (except ACDA)",19-Aug-20,No
edX,Bitcoin and Cryptocurrencies,University of California Berkeley,1,"GER-PE (STS) / UE / BDE: All programmes ACBS, BUS, and ACC students taking this MOOC would not be allowed to take BF3223 and vice versa (wef AY2021-2022)",19-Aug-20,No
edX,Blockchain Technology,University of California Berkeley,1,"GER-PE (STS): All programmes except CSC, CE, DSAI, BCE, BCG, CSEC, CEEC, and REP (CE/CSC specialisation) UE / BDE: All programmes except CSC, CE, DSAI, BCE, BCG, ACDA, ECDS, CSEC, CEEC, and REP (CE/CSC specialisation) ACBS, BUS, and ACC students taking this MOOC would not be allowed to take BF3223 and vice versa (wef AY2021-2022)",19-Aug-20,No
edX,Circular Economy: An Introduction,Delft University of Technology,1,"GER-PE (BM): All programmes except ACC, BUS, ACBS, BCE, BCG UE / BDE: All programmes",19-Aug-20,No
edX,Climate Change: Financial Risks and Opportunities,Imperial College London,1,GER-PE (STS) / UE / BDE: All programmes,19-Aug-20,No
edX,Global warming science,Massachusetts Institute of Technology,2,"GER-PE (STS): All programmes except EESS, ESPP UE / BDE: All programmes except EESS, ESPP",19-Aug-20,No
edX,Justice,Harvard University,2,GER-PE (LA) / UE / BDE: All programmes,19-Aug-20,No
edX,Launching Innovation in Schools,Massachusetts Institute of Technology & Microsoft Education,2,UE / BDE: All programmes,19-Aug-20,No
edX,The Analytics Edge,Massachusetts Institute of Technology,3,GER-PE (STS) / UE / BDE: All programmes,19-Aug-20,No
edX,Tropical Coastal Ecosystems,The University of Queensland,2,GER-PE (STS) / UE / BDE: All programmes,19-Aug-20,No
